Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
1030,1.6094301,-1.5199999883770943,42.0,0.20195924,None
1040,1.5282848,None,None,0.20144278,-1.5199999511241913
1050,1.5871134,None,None,0.1707615,None
1060,1.4532278,None,None,0.19483173,None
1070,1.4532262,None,None,0.19966772,None
1080,1.4978573,None,None,0.20104273,None
1090,1.4755452,None,None,0.20110679,None
1100,1.475541,None,None,0.17606354,None
1110,1.4978583,-1.3749999916180968,30.5,0.18273802,-1.3749999552965164
1120,1.453234,None,None,0.18273734,None
1130,1.4606725,0.8300000037997961,14.0,0.19625896,0.830000028014183
1140,1.497863,None,None,0.19199425,None
1150,1.5871199,None,None,0.17973664,None
1160,1.559846,-1.3299999926239252,27.0,0.18812513,None
1170,1.5891436,None,None,0.19349343,-1.329999953508377
1180,1.5688576,0.8600000031292439,12.0,0.17930496,0.8599999845027924
1190,1.4086014,None,None,0.1990585,None
1200,1.5064404,-1.1599999964237213,13.0,0.20370524,-1.1599999815225601
1210,1.4309161,None,None,0.23383142,None
1220,1.4532307,None,None,0.22703025,None
1230,1.6094294,None,None,0.22230746,None
1240,1.6094313,None,None,0.19984922,None
1250,1.4532287,None,None,0.2086047,None
1260,1.609428,None,None,0.22159281,None
1270,1.4978573,None,None,0.22064874,None
1280,1.609428,0.5850000092759728,33.5,0.209812,0.5850000381469727
1290,1.4755411,None,None,0.20143203,None
1300,1.3862814,None,None,0.21286249,None
1310,1.5424821,None,None,0.18988279,None
1320,1.5871131,None,None,0.19943935,None
1330,1.4532241,None,None,0.18804625,None
1340,1.5647959,None,None,0.20882395,None
1350,1.5424848,None,None,0.19325052,None
1360,1.5647981,None,None,0.19494417,None
1370,1.4978528,None,None,0.19263665,None
1380,1.4377823,1.1175870895385742e-08,40.0,0.20498562,2.9802322387695312e-08
1390,1.4309196,None,None,0.18923584,None
1400,1.4978614,None,None,0.19238493,None
1410,1.4755477,None,None,0.20538384,None
1420,1.5201762,None,None,0.19352528,None
1430,1.5201776,None,None,0.21243408,None
1440,1.542491,None,None,0.21173543,None
1450,1.5282859,0.31000001542270184,56.0,0.1998847,0.310000017285347
1460,1.5871109,-0.05999999865889549,5.5,0.1877059,0.9099999815225601
1470,1.5164574,-1.0399999991059303,4.0,0.1836666,-1.034999966621399
1480,1.5424907,None,None,0.19325885,None
1490,1.4978607,None,None,0.19572455,None
1500,1.453234,None,None,0.19269729,None
1510,1.4532344,None,None,0.20014489,None
1520,1.430918,None,None,0.19375995,None
1530,1.4978634,None,None,0.20337665,None
1540,1.4532344,None,None,0.21152309,None
1550,1.6094335,None,None,0.18917073,None
1560,1.4532347,None,None,0.18302667,None
1570,1.4471478,-0.9999999776482582,80.0,0.20505956,-0.9999999403953552
1580,1.5648025,None,None,0.20833513,None
1590,1.5424888,None,None,0.18713707,None
1600,1.5424888,None,None,0.19689031,None
1610,1.4755454,None,None,0.20184526,None
1620,1.6094303,None,None,0.19361636,None
1630,1.587117,None,None,0.18757747,None
1640,1.6094303,None,None,0.19052562,None
1650,1.6094306,None,None,0.18782717,None
1660,1.6094301,None,None,0.19772124,None
1670,1.5891445,-0.9999999776482582,80.0,0.18777514,-0.9999999403953552
1680,1.6094296,None,None,0.20529363,None
1690,1.5350435,-1.169999996200204,14.0,0.21530354,-1.169999971985817
1700,1.4978493,None,None,0.17809877,None
1710,1.5424812,None,None,0.18133336,None
1720,1.5282826,-0.1649999963119626,13.5,0.18089403,0.7000000178813934
1730,1.4065652,None,None,0.2046166,-1.0299999713897705
1740,1.4309094,None,None,0.18121786,None
1750,1.5137928,-0.4299999978393316,8.0,0.18706879,-0.12999998778104782
