Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length
138000,-8.6101885,0.6923853,-1968.0,1996.0
139000,-8.440231,0.69287866,None,None
140000,-8.384029,0.6921637,-1900.0,1996.0
141000,-7.32041,0.69298464,None,None
142000,-8.600224,0.69301766,-1602.0,1996.0
143000,-7.5585327,0.6928254,None,None
144000,-8.80135,0.69288135,-1470.0,1996.0
145000,-8.059799,0.6930031,None,None
146000,-8.7871275,0.69306886,-1932.0,1996.0
147000,-7.3989477,0.6928846,None,None
148000,-9.003635,0.69295686,-1700.0,1996.0
149000,-7.6124473,0.6927322,None,None
150000,-7.5057087,0.68834966,-1300.0,1996.0
151000,-9.617672,0.6927132,None,None
152000,-6.6706753,0.6842375,-1336.0,1996.0
153000,-7.7800264,0.69255924,None,None
154000,-8.595808,0.69295853,-1568.0,1996.0
155000,-6.4472084,0.691393,None,None
156000,-7.8931184,0.688172,-1170.0,1996.0
157000,-7.884489,0.69222367,None,None
158000,-8.294632,0.6924367,-1434.0,1996.0
159000,-5.2028847,0.6905503,None,None
160000,-6.6978707,0.6927779,-764.0,1996.0
161000,-7.0872955,0.69267285,None,None
162000,-7.305977,0.6924442,-1236.0,1996.0
163000,-7.3665876,0.6929272,None,None
164000,-7.9913673,0.69294345,-1298.0,1996.0
165000,-7.5821047,0.69295335,None,None
166000,-8.495237,0.69305545,-1800.0,1996.0
167000,-5.874134,0.6924981,None,None
168000,-8.52195,0.6929983,-1136.0,1996.0
169000,-7.974988,0.6930614,None,None
170000,-8.262059,0.6930504,-1898.0,1996.0
171000,-7.591466,0.6930555,None,None
172000,-8.2891865,0.6929548,-1432.0,1996.0
173000,-5.338007,0.69301355,None,None
174000,-8.53007,0.69305557,-1502.0,1996.0
175000,-6.4504776,0.6930718,None,None
176000,-8.666792,0.68755865,-1468.0,1996.0
177000,-6.348047,0.68878716,None,None
178000,-8.333179,0.6926076,-898.0,1996.0
179000,-8.385508,0.69312835,None,None
180000,-8.637644,0.6931205,-1900.0,1996.0
181000,-7.8734736,0.6931288,None,None
182000,-7.9861727,0.692974,-1902.0,1996.0
183000,-5.7528224,0.6919097,None,None
184000,-8.186922,0.6915584,-1132.0,1996.0
185000,-7.3874097,0.6928886,None,None
186000,-6.9701395,0.6929746,-1034.0,1996.0
187000,-6.6815853,0.69309187,None,None
188000,-8.378258,0.6930268,-1734.0,1996.0
189000,-6.175988,0.69298744,None,None
190000,-8.363284,0.69270825,-768.0,1996.0
191000,-5.538281,0.6927229,None,None
192000,-6.944181,0.69224775,-1138.0,1996.0
193000,-5.877541,0.6922854,None,None
194000,-8.138343,0.69228274,-860.0,1996.0
195000,-5.7251244,0.69271016,None,None
196000,-7.957925,0.6923359,-1036.0,1996.0
197000,-7.0680084,0.69284135,None,None
198000,-8.29097,0.692477,-1668.0,1996.0
199000,-6.802821,0.6925044,None,None
200000,-8.131686,0.6922869,-1700.0,1996.0
201000,-7.5626974,0.69271433,None,None
202000,-8.42758,0.6927952,-1770.0,1996.0
203000,-5.680668,0.6919468,None,None
204000,-8.325177,0.69229287,-1202.0,1996.0
205000,-5.7962246,0.69128156,None,None
206000,-6.4990726,0.6903616,-696.0,1996.0
207000,-7.425567,0.691924,None,None
208000,-6.817278,0.69059867,-1136.0,1996.0
209000,-6.9661407,0.69178605,None,None
210000,-6.4156113,0.6915187,-1704.0,1996.0
211000,-8.159874,0.692203,None,None
212000,-8.018347,0.6907115,-1932.0,1996.0
213000,-7.1856546,0.6920939,None,None
214000,-8.767923,0.69226485,-1802.0,1996.0
215000,-6.7865105,0.69203293,None,None
216000,-7.8699274,0.69077665,-1304.0,1996.0
217000,-8.746774,0.6915514,None,None
218000,-8.6878195,0.6905911,-1968.0,1996.0
219000,-8.405107,0.68921703,None,None
220000,-8.7291,0.6895975,-1968.0,1996.0
221000,-6.644953,0.6864003,None,None
222000,-6.0297155,0.6871225,-1134.0,1996.0
223000,-7.0759153,0.68806964,None,None
224000,-8.498325,0.6898442,-1902.0,1996.0
225000,-7.425702,0.6893236,None,None
226000,-8.734882,0.692094,-1766.0,1996.0
227000,-8.529587,0.6923684,None,None
228000,-8.935866,0.6923527,-1766.0,1996.0
229000,-5.4812455,0.6924353,None,None
230000,-9.349644,0.6925693,-1168.0,1996.0
231000,-9.106945,0.69245595,None,None
232000,-8.748703,0.6924107,-1968.0,1996.0
233000,-8.207676,0.69225967,None,None
234000,-8.634794,0.6923672,-1802.0,1996.0
235000,-8.696516,0.69242865,None,None
236000,-9.020931,0.692624,-1900.0,1996.0
237000,-8.818811,0.6925805,None,None
238000,-6.0619783,0.69178724,-1336.0,1996.0
239000,-6.765589,0.6926091,None,None
240000,-7.743368,0.69252276,-1004.0,1996.0
241000,-7.924491,0.6925519,None,None
242000,-7.421839,0.69254225,-1400.0,1996.0
243000,-7.989473,0.69236225,None,None
244000,-8.599905,0.69181883,-1902.0,1996.0
245000,-7.7063894,0.6922343,None,None
246000,-8.797853,0.6912651,-1766.0,1996.0
247000,-6.3926363,0.69067454,None,None
248000,-8.319281,0.6892315,-1432.0,1996.0
249000,-6.792918,0.6914368,None,None
250000,-8.279041,0.69015443,-970.0,1996.0
251000,-5.6874394,0.6921992,None,None
252000,-8.121799,0.69034296,-1102.0,1996.0
253000,-8.449929,0.6926245,None,None
254000,-8.725802,0.69257563,-1836.0,1996.0
255000,-8.536928,0.69271654,None,None
256000,-7.9613104,0.6923525,-1466.0,1996.0
257000,-8.041013,0.69214946,None,None
258000,-8.959038,0.69202113,-1634.0,1996.0
259000,-6.838519,0.69179857,None,None
260000,-8.58606,0.6920329,-1030.0,1996.0
261000,-8.1005,0.6913552,None,None
262000,-7.5040884,0.6913795,-1304.0,1996.0
263000,-5.7083206,0.6916634,None,None
264000,-8.851646,0.69106436,-1202.0,1996.0
265000,-8.422772,0.6915832,None,None
266000,-8.831353,0.6919232,-1902.0,1996.0
267000,-6.1409416,0.6922405,None,None
268000,-8.920668,0.69205505,-1302.0,1996.0
269000,-6.4291325,0.69196945,None,None
270000,-8.0085125,0.6911945,-1296.0,1996.0
271000,-7.9063416,0.6923236,None,None
272000,-8.309666,0.69228905,-1438.0,1996.0
273000,-7.287649,0.69236517,None,None
274000,-7.772955,0.6924587,-1168.0,1996.0
275000,-6.7751455,0.6923453,None,None
276000,-8.833942,0.6919122,-1968.0,1996.0
277000,-7.1427946,0.69184226,None,None
278000,-6.914496,0.6920924,-1102.0,1996.0
279000,-6.838415,0.692451,None,None
280000,-8.275144,0.6911398,-1468.0,1996.0
281000,-7.0260468,0.69249046,None,None
282000,-8.504349,0.69123876,-1800.0,1996.0
283000,-7.295618,0.69230026,None,None
284000,-5.1484146,0.6923899,-804.0,1996.0
285000,-5.797377,0.69235134,None,None
286000,-8.792154,0.69231725,-1468.0,1996.0
287000,-5.5897846,0.6918112,None,None
288000,-8.284347,0.6925002,-1734.0,1996.0
289000,-7.2558517,0.69216996,None,None
290000,-9.0198765,0.6920493,-1802.0,1996.0
291000,-5.4617014,0.69233197,None,None
292000,-8.71549,0.6928207,-1036.0,1996.0
293000,-7.868177,0.6916299,None,None
294000,-5.7080827,0.6917586,-1002.0,1996.0
295000,-7.613619,0.691903,None,None
296000,-8.339638,0.68819827,-1934.0,1996.0
297000,-6.608325,0.69061947,None,None
