Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length
132000,0.14919426,0.19905236,-19.0,992.0
133000,0.10818107,0.11965522,100.0,992.0
134000,0.09445415,0.3569089,432.0,992.0
135000,0.14260526,0.20446491,-17.0,992.0
136000,0.10705801,0.74456555,423.0,992.0
137000,0.14279886,0.3521438,44.0,992.0
138000,0.13930784,0.23050858,39.0,992.0
139000,0.13324422,0.2168566,39.0,992.0
140000,0.135934,0.17504127,-20.0,992.0
141000,0.09834572,0.20139079,-5.0,992.0
142000,0.27135012,5.6261373,584.0,992.0
143000,0.23623794,2.9846914,350.0,992.0
144000,0.17858435,3.8523285,179.0,992.0
145000,0.21110035,3.1953049,348.0,992.0
146000,0.18224993,1.9699991,293.0,992.0
147000,0.07819293,0.1296342,-8.0,992.0
148000,0.15629406,1.4853868,249.0,992.0
149000,0.22416677,2.5049734,555.0,992.0
150000,0.104749076,0.081031084,-18.0,992.0
151000,0.17472856,1.6632922,265.0,992.0
152000,0.10671398,0.9477551,86.0,992.0
153000,0.11375292,0.98814046,140.0,992.0
154000,0.06925824,0.01178056,88.0,992.0
155000,0.11923461,1.5993762,322.0,992.0
156000,0.22232038,2.5715263,632.0,992.0
157000,0.10040572,-0.140178,40.0,992.0
158000,0.054465488,0.45390618,248.0,992.0
159000,0.08720381,0.9825295,371.0,992.0
160000,0.041810606,0.0025459602,-17.0,992.0
161000,0.096631944,0.9713273,169.0,992.0
162000,0.11266736,0.79747045,182.0,992.0
163000,0.06725232,0.46468642,103.0,992.0
164000,0.034602445,0.11512771,84.0,992.0
165000,0.07043445,0.23606144,50.0,992.0
166000,0.06902325,0.44757488,242.0,992.0
167000,0.08604907,0.3431694,39.0,992.0
168000,0.05492709,0.19697687,-22.0,992.0
169000,0.08871617,0.75850797,396.0,992.0
170000,0.092053,0.45306522,37.0,992.0
171000,0.07208746,0.6763238,256.0,992.0
172000,0.054584272,0.54928917,201.0,992.0
173000,0.10396052,1.090885,648.0,992.0
174000,0.068820246,0.55303884,97.0,992.0
175000,0.0818813,0.3364643,-17.0,992.0
176000,0.06646038,0.38283315,242.0,992.0
177000,0.043215625,0.20409395,-17.0,992.0
178000,0.10722077,2.0221055,989.0,992.0
179000,0.052318614,0.33040532,207.0,992.0
180000,0.056649234,1.621329,617.0,992.0
181000,0.07201691,1.2946155,198.0,992.0
182000,0.083998084,0.20315403,-18.0,992.0
183000,0.047412697,0.094956845,-17.0,992.0
184000,0.07073231,0.7117916,404.0,992.0
185000,0.0836778,0.13774803,-16.0,992.0
186000,0.08894958,0.46084872,206.0,992.0
187000,0.083160594,0.13266954,-19.0,992.0
188000,0.077255554,0.4765126,240.0,992.0
189000,0.087104194,0.3077285,-22.0,992.0
190000,0.08460708,0.15920347,38.0,992.0
191000,0.06666259,0.47502702,240.0,992.0
192000,0.08149267,0.2805467,39.0,992.0
193000,0.08124392,0.13328469,37.0,992.0
194000,0.07933494,0.13315523,38.0,992.0
195000,0.07924373,0.2956953,-18.0,992.0
196000,0.05374711,0.29673105,-19.0,992.0
197000,0.07767722,0.20847258,36.0,992.0
198000,0.056842122,0.27264395,40.0,992.0
199000,0.07317308,0.19002472,-17.0,992.0
200000,0.08217648,0.5249101,347.0,992.0
201000,0.08984561,1.1031398,263.0,992.0
202000,0.07019829,0.20796534,38.0,992.0
203000,0.07514884,0.6061252,-26.0,992.0
204000,0.035517063,1.2340838,369.0,992.0
205000,0.06561738,0.15466993,-17.0,992.0
206000,0.032359235,0.3922893,41.0,992.0
207000,0.060970917,0.1693641,-18.0,992.0
208000,0.04224915,0.57814014,102.0,992.0
209000,0.060241614,0.5493951,209.0,992.0
210000,0.10956216,1.0801637,-9.0,992.0
211000,0.039015748,0.32213938,110.0,992.0
212000,0.1425595,0.8421515,-36.0,992.0
213000,0.06990751,0.27306044,171.0,992.0
214000,0.0315313,0.2080572,104.0,992.0
215000,0.051518735,-0.06664836,-17.0,992.0
216000,0.069434,0.14222632,51.0,992.0
217000,0.06350435,0.3577342,241.0,992.0
218000,0.05470968,0.35184628,240.0,992.0
219000,0.05890164,0.074685045,-16.0,992.0
220000,0.04830255,-0.03312469,7.0,992.0
221000,0.03449067,0.53251153,165.0,992.0
222000,0.05522299,0.033228576,38.0,992.0
223000,0.11725201,0.58927447,245.0,992.0
224000,0.050147325,0.401272,242.0,992.0
225000,0.060025882,0.15856043,38.0,992.0
226000,0.036775805,0.0996461,38.0,992.0
227000,0.058284223,0.156941,-16.0,992.0
228000,0.057030242,0.17602332,38.0,992.0
229000,0.048505936,0.48784894,242.0,992.0
230000,0.056744803,0.10852679,38.0,992.0
231000,0.08554414,0.9256662,242.0,992.0
232000,0.055539444,0.20050655,-18.0,992.0
233000,0.055314343,0.15894662,-18.0,992.0
234000,0.05436386,0.15622057,-17.0,992.0
235000,0.022410726,0.7661627,327.0,992.0
236000,0.054365873,0.04616166,-18.0,992.0
237000,0.053998522,0.0040225405,39.0,992.0
238000,0.04641105,0.009347983,24.0,992.0
239000,0.050388545,0.4693081,241.0,992.0
240000,0.035586502,-0.045697954,-15.0,992.0
241000,0.05396595,0.016839372,-17.0,992.0
242000,0.045493126,1.3417372,439.0,992.0
243000,0.05486388,0.22336882,-16.0,992.0
244000,0.04269976,0.45194378,240.0,992.0
245000,0.052389465,-0.0016535306,-16.0,992.0
246000,0.05231068,-0.002397664,-17.0,992.0
247000,0.03609491,-0.069361426,39.0,992.0
248000,0.032719627,0.193311,63.0,992.0
249000,0.036660653,0.01954209,-15.0,992.0
250000,0.051136084,0.053246684,39.0,992.0
251000,0.052583136,0.013851638,38.0,992.0
252000,0.12512283,0.8457985,163.0,992.0
253000,0.027990783,0.022076424,-15.0,992.0
254000,0.053576097,0.10567828,-17.0,992.0
255000,0.081853196,0.59248185,13.0,992.0
256000,0.042178884,0.49794418,341.0,992.0
257000,0.050704528,0.048019238,-16.0,992.0
258000,0.0375175,-0.0062662847,40.0,992.0
259000,0.05877526,0.19397756,487.0,992.0
260000,0.04555408,0.035155267,-16.0,992.0
261000,0.04589795,0.08337483,39.0,992.0
262000,0.06812924,1.143508,493.0,992.0
263000,0.042379323,0.7770333,292.0,992.0
264000,0.048556484,0.2524521,39.0,992.0
265000,0.049672686,0.23160803,39.0,992.0
266000,0.047622025,0.23012713,-17.0,992.0
267000,0.05211058,0.39174414,65.0,992.0
268000,0.07861122,0.35963365,136.0,992.0
269000,0.04251806,0.14357923,105.0,992.0
270000,0.16812064,2.7085428,1083.0,992.0
271000,0.052382052,0.32936034,28.0,992.0
272000,0.065507255,0.54660827,3.0,992.0
273000,0.098641925,1.0606949,633.0,992.0
274000,0.048006114,0.80403125,242.0,992.0
275000,0.05219281,0.14315872,-16.0,992.0
276000,0.032478936,0.13734405,38.0,992.0
277000,0.047918566,0.97925144,241.0,992.0
278000,0.04460659,0.8291751,240.0,992.0
279000,0.048429523,0.1940484,38.0,992.0
280000,0.048411302,0.2708895,-16.0,992.0
281000,0.046615623,1.2967508,347.0,992.0
282000,0.04626151,0.15689795,38.0,992.0
283000,0.0570254,2.4233968,443.0,992.0
284000,0.038340557,1.0575873,242.0,992.0
285000,0.044532552,0.05393928,-16.0,992.0
286000,0.044521313,0.061765645,38.0,992.0
287000,0.0634549,3.1976519,373.0,992.0
288000,0.039685752,0.88365066,240.0,992.0
289000,0.045232296,0.12809874,39.0,992.0
290000,0.041634902,-0.07980443,277.0,992.0
291000,0.04427312,0.08067459,-16.0,992.0
292000,0.06724342,0.08967632,-43.0,992.0
293000,0.03948032,2.8857107,664.0,992.0
294000,0.044786703,0.1767913,-17.0,992.0
295000,0.043790225,0.0065831654,-15.0,992.0
296000,0.07302324,0.30916023,-16.0,992.0
297000,0.040221322,-0.3078843,76.0,992.0
298000,0.06194707,2.2805014,586.0,992.0
299000,0.040399022,2.407139,312.0,992.0
300000,0.043698497,0.02939514,39.0,992.0
301000,0.039902262,0.14224502,-15.0,992.0
302000,0.05592764,0.27377155,139.0,992.0
303000,0.066319086,0.55797464,404.0,992.0
304000,0.032290757,-0.083147995,40.0,992.0
305000,0.057835445,1.1492203,707.0,992.0
306000,0.048807263,0.16838658,29.0,992.0
307000,0.096343614,3.2317193,815.0,992.0
308000,0.036310412,0.03311534,40.0,992.0
309000,0.0730523,1.0943259,58.0,992.0
310000,0.042932533,0.14829099,-15.0,992.0
311000,0.06787641,2.3838842,422.0,992.0
312000,0.08746647,0.13385653,75.0,992.0
313000,0.09934983,2.8079596,1200.0,992.0
314000,0.04823199,-0.24623579,21.0,992.0
315000,0.04515589,-0.021298591,39.0,992.0
316000,0.045095015,0.1372918,-16.0,992.0
317000,0.05364978,0.46248388,59.0,992.0
318000,0.044790167,0.113425,-16.0,992.0
319000,0.042963337,0.1214528,-17.0,992.0
320000,0.08948909,1.0526234,93.0,992.0
321000,0.12020192,2.2124753,294.0,992.0
